lat,lng,city,state,date,specs
43.0730517,89.4012302,Madison,WI,3/15/17,I think I saw a normal looking passenger jet in the air that wasn't moving.
32.715738,117.1610838,San+Diego,CA,3/15/17,"Soledad Mtn., looking W, observed 3 orange lights form a triangle over Pacific.  1 disappeared; another appeared.  ((anonymous report))"
39.9090924,74.1549173,Bayville,NJ,3/15/17,Was driving on mill creek rd. in bayville towards  southwest on rt. 9 when I saw the star shaped object brightly shining...I was headin
32.715738,117.1610838,San+Diego,CA,3/15/17,Orange sphere disappears and reappears in the sky; seen in San Diego.
35.1484549,81.8609371,Chesnee,SC,3/15/17,"Bright white, shimmering light disappeared.  ((NUFORC Note:  Possible sighting of Venus??  PD))"
33.4483771,112.0740373,Phoenix,AZ,3/15/17,"Over South Mountain, a single craft with 3 oval sides spinning slowly.  ((anonymous report))"
37.8280961,92.17766639999999,St.+Robert,MO,3/15/17,While taking a photo of a blue streak ahead of me. Captured these two orbs that began bright and ended white total time approximately.
34.7303688,86.5861037,Huntsville,AL,3/15/17,Above the skies in Huntsville.
33.4483771,112.0740373,Phoenix,AZ,3/15/17,We saw 4 orbs moving away and at each other.the very strange thing was a plane circling around the area.  ((anonymous report))
26.6617635,80.2683571,Wellington,FL,3/15/17,"Witnessed a circ. light travel S past moon, faster than an a/c, pause for a few min., turn around and head N.  ((anonymous report))"
38.4429658,120.6307628,Volcano,CA,3/15/17,Light above the tree line.
33.1462341,96.8945955,Cherry+Springs+Community,TX,3/15/17,Object in picture taken in remote location in Texas
33.5676842,117.7256083,Aliso+Viejo,CA,3/14/17,6 orange &quot;orb-ish&quot; lights in Aliso Viejo.
61.2180556,149.9002778,Anchorage,AK,3/14/17,Trapezoid shaped object rising above trees leaving to the West over Anchorage
61.2180556,149.9002778,Anchorage,AK,3/14/17,"3 orbs in the shape of a triangle, morphed to a long thin line of light above treeline in Anchorage"
43.0730517,89.4012302,Madison,WI,3/14/17,White orb seems to be circling around in the sky by the moon.  Wasn't there earlier until now.  It's no Airplane.  ((anonymous report))
42.6193625,112.0110712,Lava+Hot+Springs,ID,3/14/17,"Saw a set of 3 bright lights float, and then explode; in the N sky, looking from Lava Hot Springs, ID."
33.3061605,111.8412502,Chandler,AZ,3/14/17,"Four, red white blue and green, glowing objects flew overhead.  Did not make a sound."
40.66772479999999,111.9388258,Taylorsville,UT,3/14/17,Witnessed a craft with 5 or 6 orange lights on the front and flashing blue and white lights on the sides; it hovered overhead.
39.7392358,104.990251,Denver,CO,3/14/17,"Bright object over downtown (East) Denver is observed twice, then the same thing appears in the West"
33.4483771,112.0740373,Phoenix,AZ,3/14/17,2 large objects with many much smaller objects floating in the sky over Phoenix Sky Harbor airport
33.4353394,112.3576567,Goodyear,AZ,3/14/17,((HOAX??))  The &quot;UFO&quot; was fairly large.  It was about a mile wide and a mile tall.  There was about 6 or 7 orbs in a V shape.
33.4151843,111.8314724,Mesa,AZ,3/13/17,Witnessed 2 orange orbs being followed by a large helicopter like a Blackhawk. Flew directly overhead at approximately 500ft northbound
33.5386523,112.1859866,Glendale,AZ,3/13/17,((NUFORC Note:  Source of report provides no information; elects to remain totally anonymous.  PD))
34.0555693,117.1825381,Redlands,CA,3/13/17,Bright falling object falls in a direct line than maneuvers an L shape at tremendous speed
36.1699412,115.1398296,Las+Vegas,NV,3/13/17,"Did you see this one?  Las Vegas, NV.  ((anonymous report))"
45.1721192,122.4374803,Colton,OR,3/12/17,While photographing the moon last night I captured unexplained light objects that moved in each frame but could not see without camera
42.21420639999999,83.14992389999999,Wyandotte,MI,3/12/17,Red and white lights in the ESE sky.
37.4098631,76.52661739999999,Gloucester,VA,3/12/17,"((HOAX??)  Watching this super bright obj. in sky for several mounts now.  Can see in at night, dawn, and dusk clearly.  ((Venus??))"
36.4993007,80.6072858,Mount+Airy,NC,3/12/17,"Very high velocity, bright object.  ((anonymous report))"
35.4798757,79.1802994,Sanford,NC,3/12/17,I witnessed a small circle-shaped object.  It flashed red lights then proceeded to slowly ascend.  ((anonymous report))
33.7700504,118.1937395,Long+Beach,CA,3/12/17,"((HOAX??))After a strange noise, a bright ball crossed the sky and leave the neighborhood in a blackout for 1 min. ((anonymous report))"
34.0555693,117.1825381,Redlands,CA,3/12/17,Extremely bright LED-like light over Southern California.  ((NUFORC Note:  We suspect a sighting of Venus.  PD))
47.2528768,122.4442906,Tacoma,WA,3/12/17,Strange white silent hovering lights near Commencement Bay
34.5216915,93.0423545,Hot+Springs+National+Park,AR,3/12/17,"On 03/17/2017, I was picking customers up on the company shuttle to come into the casino at Oaklawn Jockey Club/Casino. When two people"
42.2178171,85.89112460000001,Paw+Paw,MI,3/12/17,"Orange lights sighted over Paw Paw, Michigan 3/12/17"
34.2031662,86.15209689999999,Boaz,AL,3/12/17,Bright light in sky.
37.9737114,82.0173502,Chapmanville,WV,3/12/17,Wife and I saw what appeared to be a bright light just appear in the sky and then fall straight down.  ((anonymous report))
38.4087993,121.3716178,Elk+Grove,CA,3/12/17,These orbs or spheres are appearing from the W side of Hood Franklin near I-5 and have been seen for 1 hour.  ((anonymous report))
38.4087993,121.3716178,Elk+Grove,CA,3/12/17,Flying with no sound.  Appears like a flare because the color disappears but then I was able to see a craft still in the air because of
42.331427,83.0457538,Detroit,MI,3/12/17,Just turn into a big flash and the power had went out in the house and about 30 secs later it just came back on.((anonymous report))
33.7489954,84.3879824,Atlanta,GA,3/11/17,"Bright light in the sky-HUGE object, going faster then anything I've ever seen, then disappeared on I-85 S."
40.1983884,83.0100987,Lewis+center,OH,3/11/17,7 fireballs stretched at an upward angle to the left on the horizon then vanished.  ((anonymous report))
36.8529263,75.97798499999999,Virginia+Beach,VA,3/11/17,Two red objects moving over the sky in Virginia.
45.4215296,75.69719309999999,Ottawa+(Canada),ON,3/11/17,"Sat. evening in Ottawa, Ontario, Canada at precisely 21:31hrs.  Driving my regular city bus route along a dark resid"
40.23981180000001,76.9199742,Camp+Hill,PA,3/11/17,Hovering Object with White light.
32.8795022,111.7573521,Casa+Grande,AZ,3/11/17,"4 lights over Casa Grande, AZ."
35.4087517,80.579511,Concord,NC,3/11/17,Orange lights moving from west to east. About 20 or 25 do them in no reticular formation they just found each other in the same directi
40.3887489,75.79142000000002,Oley,PA,3/11/17,"1 flat possible circle, 3 solid light blue lights. Tailed by 2 mil. helicopters with 2 blinking red lights.  ((anonymous report))"
39.9703958,74.0687475,Lavallette,NJ,3/11/17,Six very bright orange redish lights in a row hovering over the ocean.
39.9703958,74.0687475,Lavallette,NJ,3/11/17,Six very bright orange redish lights in a row hovering over the ocean
36.4993007,80.6072858,Mt.+Airy,NC,3/11/17,I saw a missle like object with a green flame for the tail fly by. There was no sound and it was very fast.  ((anonymous report))
44.9591352,89.6301221,Wausau,WI,3/11/17,"Silver colored, cigar-shaped craft, hovered for 15 min, no sound.  Two red lights on bottom; yellow light, too.  ((anonymous report))"
33.1506744,96.82361159999999,Frisco,TX,3/10/17,"Large, un-lit, object moves silently and slowly through the cloudy skies over Frisco, TX.  ((anonymous report))"
43.8374576,66.11738199999999,Yarmouth+(Nova+Scotia)(Canada),NS,3/10/17,"Craft not moving, w/bright white lights on each side and illuminated in the central portion; no red or green lights. ((anon. report))"
34.0339031,117.3136544,Grand+Terrace,CA,3/10/17,"24 white lights over San Bernardino moving from Northwest to South on March 10, 2017."
36.5297706,87.3594528,Clarksville,TN,3/10/17,Lights in the sky.
36.5297706,87.3594528,Clarksville,TN,3/10/17,Bright lights moving through the sky at alarming speeds.
35.1495343,90.0489801,Memphis,TN,3/10/17,Bright green shooting light.
47.4017661,122.3242902,Des+Moines,WA,3/10/17,Four lights in the sky.
40.2628184,85.675809,Alexandria,IN,3/10/17,Friday march 10th 2017. There was a White light in the sky. I used a camera and zoomed in. I was round like a planet. But it was to low
42.3211522,85.17971419999999,Battle+Creek,MI,3/10/17,Steady glowing red light moving irradically across sky with varying degrees of brightness.
38.0466779,97.34503649999999,Newton,KS,3/10/17,Perfect triangular formation made by floating lights above tree line slowly glided until it disappeared.
47.6101497,122.2015159,Bellevue,WA,3/9/17,"Sound only, mechanical/celestial in nature, consistent, indoors.  ((anonymous report))"
44.6652059,63.5677427,Dartmouth+(Canada),NS,3/9/17,BRIGHT LIGHTS OVER DARTMOUTH NOVA SCOTIA.  ((anonymous report))
33.4483771,112.0740373,Phoenix,AZ,3/9/17,3 red lights with three blue lights hovering over n Phoenix
33.2183701,117.0341967,Valley+Center,CA,3/9/17,Large orb-like lights appear in the sky over Palomar Mountains. More blink off and on and move with great speed.
38.6270025,90.19940419999999,St.+Louis,MO,3/9/17,"Two bright lights near Milky Way traveling north in St. Louis, MO.  ((anonymous report))"
27.2730492,80.3582261,Port+Saint+Lucie,FL,3/9/17,Unknown Triangle Craft (?).  ((anonymous report))
41.10809270000001,89.97149979999999,LaFayette,IL,3/9/17,"Bright white light.  ((NUFORC Note:  We suspect a sighting of the planet, Venus.  PD))"
36.1699412,115.1398296,Las+Vegas,NV,3/9/17,"Orange lights over Las Vegas, NV."
53.2033494,105.7530705,Prince+Albert+(Canada),SK,3/9/17,Elongated white object in the early evening.
38.7651145,76.8983059,Clinton,MD,3/9/17,Two witnesses watched winged aircraft  with no tail or landing gear stay motionless for some time at the edge of the road.
38.291238,76.63579419999999,Leonardtown,MD,3/9/17,Was escorted by multiple police.
39.7674578,94.84668099999999,Saint+Joseph,MO,3/9/17,Fast moving sphere of light.
33.4487183,86.7877668,Vestavia,AL,3/9/17,1 hour Vestavia Al UFO sighting shape shifting reddish color
28.0836269,80.60810889999999,Melbourne,FL,3/9/17,Two orange lights hovering above ocean at night.  ((anonymous report))
37.3856044,93.9532705,Lockwood,MO,3/8/17,Low flying triangle craft
40.82982,75.07767470000002,Belvidere,NJ,3/8/17,46 West glowing disc object.
36.4192723,82.3048542,Piney+Flats,TN,3/8/17,"Huge &quot;star&quot;; went away.  ((anonymous report)) ((NUFORC Note:  Possible sighting of Venus, we wonder??  PD))"
40.9939865,74.3034823,Riverdale,NJ,3/8/17,"Bright white light, circular obj. that never moved and way above any flight patterns. There for >15 mins.  ((NUFORC Note:  Venus? PD))"
42.2411499,83.61299389999999,Ypsilanti,MI,3/8/17,9 orbs of light in 2 separate pyramid formations visible over lake
33.4483771,112.0740373,Phoenix,AZ,3/8/17,In the E sky over Phoenix at 2am on Mar 9th my friend and I saw 4 bright lights flickering fast at first then slow then fast again.
34.6081774,82.113438,Gray+Court,SC,3/8/17,Small round light floating in southern sky bobbing up down back and forth up over tree line. Saw up close with bonoculars seemed to hav
34.6081774,82.113438,Gray+Court,SC,3/8/17,"At approx 2340, &amp; again at 0:30 hrs a small greenish light appeared just over the tree line past a neighbors house in southern directi"
38.3553236,87.5675222,Princeton,IN,3/7/17,"Several lights dancing erratically in the western sky.  3/7/17  ((NUFORC Note:  Sighting of the star, Sirius.  PD))"
39.9525839,75.1652215,Philadelphia,PA,3/7/17,I noticed an extremely bright object ascend from below the horizon at a high rate of speed and in a perfectly straight line.
31.4637723,100.4370375,San+Angelo,TX,3/7/17,2 crafts stopped then 2 more appeared 2-3 seconds after then went together and spreaded out in to a diamond formation then took off.
33.0185039,80.17564809999999,Summerville,SC,3/7/17,"Green orb over Ladson, SC.  ((anonymous report))"
38.0405837,84.5037164,Lexington,KY,3/7/17,"White, shimmery, oval, very large, hovering object.  ((anonymous report))"
32.7554883,97.3307658,Fort+Worth,TX,3/7/17,4 lights at a perfect angle slowly moving south.possible triangle formation.
37.1379265,76.8352384,Surry,VA,3/7/17,Viewed on game cam......craft viewed on game cam....... beam 25 minutes long .I have the photos. ((anonymous report))
37.9532584,120.4226952,Jamestown,CA,3/7/17,"((HOAX??))  We saw another spherical floating object directly above our heads, it was bright yellow and bright."
